exporter	gdppc_start	gdppc_end	gdppcppp_start	gdppcppp_end	nat_res_share_increase	export_share_increase	regqual	govteffectiv	polstab	rulelaw	corrupt	voice	diversity_rca	diversity_rpop	eci_rca	eci_rpop	fitness12_rca	fitness12_rpop	ann_rca	ann_rpop	var_rca	var_rpop	moran_rca	moran_rpop
BHR	24989.4001204704	23742.9850166355	51101.9005266201	47709.8738136618	-0.05187373331535611	-0.20271069822985	0.6815747022628788	0.5560632348060608	-1.0809223651885993	0.33885730803012826	0.32577112689614296	-1.2925	83	416	0.3353073593161032	0.7749997174051514	0.3423755747034783	1.166136032545204	0.8375611268041068	0.5345146093444639	0.4203412676594585	0.9228662830755217	0.0078612902596025	0.0135538853960468
BHS	29980.0611386466	32718.6381008013	33154.0049145014	36297.3070225153	-4.2907959322739995e-05	-0.024670575506471053	0.321271348744631	0.8927943855524065	1.0947355628013613	0.6350609213113788	1.3332044780254348	0.9650000000000001	37	174	0.309811682327568	0.7760546572238833	0.0792139426269372	0.4379339585891473	1.212621119608682	0.8386837996851594	0.2944418113000943	0.8086626707708388	0.0051927386682196	0.0104030215398712
BIH	5329.63504488766	5394.59122017677	11433.2224926214	13797.790217834	-0.00023212896326959997	0.068414637915577	-0.060190442018211	-0.5215884372591972	-0.44551668968051694	-0.21915098652243625	-0.29298942536115624	-0.1125	206	341	0.5233437804328575	0.5389598952800259	1.2381869565075934	0.8148562856836353	0.6113543447789737	0.5747498005313273	0.4925371609778067	0.8759509829623477	0.0198643035143795	0.0166260429099884
BLR	8318.51268992675	5761.74712023007	18955.907025082	18280.1989190642	0.001628894269028498	0.11848596143985703	-1.080960541963575	-0.8406046405434615	0.04164688242599375	-0.9463832080364223	-0.49327596276998525	-1.5524999999999998	204	471	1.102918735326936	0.8654851179999951	1.588517603079271	1.5350453459103786	0.5440257518242009	0.4872311380502175	0.5186924122980554	1.1515132308705645	0.0112381395714629	0.0054719809725611
BMU	98467.683993982	111820.581466347	68775.4467426718	81834.9558735543		-0.026230939576266935	1.2280526161193865	0.9929137080907829	0.9571441709995273	0.8320257584564381	1.2584172487258924	1.0133333333333334	39	111	0.8670284549845396	0.9270912898092762	0.2082286063873419	0.3167074452408412	1.2129335054128303	1.0138951724912733	0.2179857902097902	0.7123145557525261	0.0044871205945781	0.0048216641975992
BOL	3081.87882321413	3351.1240444427	7056.82836431613	8423.69680584065	-0.0386065987974597	-0.18388943658911	-0.8066008388996125	-0.4538673907518387	-0.384225033223629	-1.0241884738206881	-0.6296670734882355	-0.0625	64	75	-0.7093452868279376	-0.5893666591527692	0.1792516341922307	0.1025296040942169	1.1317370895467438	1.0700997901614009	0.1164483227835944	0.1030885736377339	0.017830854989139	0.0099177644655492
BRA	12112.5882059697	9925.38623770041	15718.5656477083	14519.8491302518	-0.006720446537553899	0.015111325459113995	0.063616055995226	-0.11924056150019174	-0.10386430285871026	-0.040456634014845	-0.07363489642739277	0.47	158	279	0.5232697270997729	0.6329799745296794	1.071312040046827	0.914141819277148	0.6739718406826487	0.8350431906361723	0.3235459270782279	0.4732060122132891	0.0151180289240732	0.0060728652715221
BRN	41726.7839720342	28572.1467776509	81373.0180738329	60995.6811141379	-0.044886689398676974	-0.18603838749449494	1.0991875827312452	0.9241640865802763	1.0825125724077225	0.677547186613083	0.646243929862976	-0.5650000000000001	4	198	-2.54801966179898	0.6870818899823987	1.1506608725228163e-07	0.4658146584401182	3.335522605201546	0.9088411122244858	0.0197329388194557	1.0231603442640278	0.0019941219175918	0.0068015784134259
BWA	7780.65338385068	7893.23253363666	16300.8685335942	17253.2806291006	-0.01621057328016246	-0.187966822420241	0.5677395090460777	0.42734182626009	1.0706705451011649	0.6399735063314437	0.9267996102571487	0.4725	32	104	-0.2202119213476729	0.1980721572420227	0.068327177696583	0.1605141604076721	1.248014975219441	1.0187166035316806	0.3716464735205827	0.2884860268125325	0.0040363455597943	0.0062491713846702
CAN	50893.4467137547	45148.5527061655	45753.7505547994	48490.3794987481	-0.005774706267776499	-0.0032604851529660197	1.7474939525127424	1.7733364403247824	1.1067793965339676	1.78669273853302	1.907069742679595	1.42	204	823	0.6462871951985006	0.8535120707527614	1.2148511748573882	2.8678478876245563	0.675799796757109	0.4449783769901641	0.4107107197250222	1.2153356180679389	0.0241331461861817	0.019513742960162
