exporter	eci_rca	eci_rpop	fitness12_rca	fitness12_rpop
IRL	1.4005299005501821	0.8874880538321966	1.1871832547184598	2.8418305003426534
IRN	-0.4776124091068741	-0.026529437152413016	0.31241039605111953	0.25149538850473224
IRQ	-1.7825936179320214	-1.5788341312672225	1.4743557043115042e-05	0.0004919151603485324
ISL	0.1496339392803287	0.7568588123698977	0.2788843176108103	0.9013450044360165
ISR	1.2467703894398343	0.8746673766723507	1.4834329109500266	2.289570543243245
ITA	1.4769127447827626	0.8867601742169889	5.020205286876518	3.3662639095580773
JAM	-0.3591493605976005	-0.44866003467300986	0.17583006093715667	0.055452958674271934
JOR	0.26517785982395153	0.36991973891268753	0.8276135804050107	0.45908017368998555
JPN	2.446871550976589	1.126640793014619	5.236208074390763	2.8259831015156927
KAZ	-0.3780791643134701	0.22728896756383415	0.2958272763298755	0.4950169168204557
KEN	-0.3768629075828824	-0.8941694786635396	0.547582145015302	0.033216473714442536
KGZ	-0.13047086982539483	-0.40232608387337554	0.6008008918015645	0.09743098349749647
KHM	-0.6545404225079154	-0.0662736092345878	0.30552732443157915	0.10597087085005986
KOR	1.861548444776895	1.0317497517958303	3.246978052684102	3.0174651281927787
KWT	-0.35750637295976195	0.5563416197061466	0.009195972623527466	0.49328389836006664
LAO	-0.958214351662699	-0.6399624540143138	0.2594457767397074	0.08904274385402026
LBN	0.36946702677947924	0.3375401167692926	1.2452013714955958	0.5413477959046408
LBR	-0.4610166326659117	-1.1471080994951874	0.024005190385122548	0.002959657992834542
LBY	-2.051845828063841	-0.5141584966613678	0.00011333101956522566	0.01402322890851741
LKA	-0.310913309398319	-0.015371365036994152	0.7820663147458414	0.23362719954322084
LTU	0.7906291062815481	0.8723059185641787	1.7597789428334658	3.001013240593673
LUX	1.3450592136345316	0.8733985206375291	1.6315485574828974	3.1163055577497407
LVA	0.7519587617142145	0.824139111278436	1.638793566100608	2.6283662164834873
MAC	0.7849213874618931	0.8401900991021622	1.4404212401606726	0.9353111385273071
MAR	-0.4773537783985616	-0.03883181786027295	0.5713463042772827	0.2686134815486413
MDA	0.1288186021835829	0.27529302294185615	0.824216945526233	0.4175841238473273
MDG	-0.8060060833134826	-0.5340897642391932	0.35014250863727714	0.03909632128042011
MEX	1.1273596359596114	0.8072139337712488	1.6964681584803782	1.6914697296997678
MHL	-0.7508197755790396	0.21634606650472193	0.011442580684181636	0.10099017299340496
MKD	0.06691691084659526	0.43429777831064487	0.7362972397129842	0.6616440783285591
MLI	-1.2618960139461746	-3.3566458280318905	0.028224716864764424	0.00021571815509687113
MLT	1.0187337525939506	0.9208521783628084	0.5652551209760704	1.6132161770254578
MMR	-1.1347557371960064	-0.9738600320961601	0.21431234079549558	0.0312576884151971
MNE	0.03094078323936276	0.15571670734161924	0.37302291409452726	0.24360565192803346
MNG	-1.1711411966644172	-0.7944544401002559	0.08367652060369078	0.048041031694450974
MOZ	-1.0703718902710324	-1.371570530491257	0.11002790931200475	0.018044062630635148
MRT	-1.4186780748141763	-1.339410933322349	0.017071986146640964	0.007759870879854887
MUS	0.03372492993584103	0.49475441623555655	0.7963191501983843	0.6217124024495211
MWI	-0.6381967984903689	-1.7229770846840864	0.1891191080677241	0.003978892605716148
MYS	1.1402973879302631	0.7894915192158586	1.9172922967849935	2.6055696524231524
NAM	-0.44807863847597923	0.23907156258267648	0.26292387645154625	0.3990863265195522
NCL	-0.5590553940961448	0.5059985151032322	0.04297092887741409	0.16415471801763445
NER	-1.2750476305231275	-1.4561245242817118	0.05641251238209692	0.0014217477010288197
NGA	-1.588404760342892	-1.8593669559050192	0.03491048996748539	0.007245899978633724
NIC	-0.7560376960885211	-0.3823252401062452	0.24492065127732462	0.1247038917309686
NLD	1.17089575053516	0.817904129259274	3.3123051608172807	3.560146233883351
NOR	0.8106677919758187	0.9592629255561171	0.6264294718177468	2.412670589122899
NPL	0.02182162463170646	-0.19899180194989388	0.8765935147561807	0.030302792267165358
NZL	0.3302742330601511	0.7970955428572354	0.7991362809322186	2.06488036739399
OMN	-0.4074885187275193	0.43220973833723986	0.1325361331402863	0.5841010563440642
PAK	-0.5121002802867433	-0.4476964319849109	0.8160567476802569	0.0934905141318911
PAN	0.8296190509389858	0.8488928533839077	2.3251258769204823	1.651066146761595
PER	-0.4943875081822279	-0.039869727405132546	0.5205575789397667	0.4082609613793939
PHL	0.5798679825156654	0.5376990364364477	1.227200241974955	0.4860244648602701
PNG	-1.4229518070719214	-0.9744780875337647	0.040071736606835356	0.03389581286608809
POL	1.0930710977298006	0.9018356553156762	2.9813334206164805	3.0211171144884528
PRK	-0.23614321741132321	-0.463122521528667	0.3869098088001572	0.02053497177484673
PRT	0.7458958899503737	0.8092205561933312	2.6480753600181135	2.784332206558371
